toy story,7.7
jumanji,6.9
grumpier old men,6.5
waiting to exhale,6.1
father of the bride part ii,5.7
heat,7.7
sabrina,6.2
tom and huck,5.4
sudden death,5.5
goldeneye,6.6
the american president,6.5
dracula: dead and loving it,5.7
balto,7.1
nixon,7.1
cutthroat island,5.7
casino,7.8
sense and sensibility,7.2
four rooms,6.5
ace ventura: when nature calls,6.1
money train,5.4
get shorty,6.4
copycat,6.5
assassins,6
powder,6.3
leaving las vegas,7.1
othello,7
now and then,6.6
persuasion,7.4
the city of lost children,7.6
shanghai triad,6.5
dangerous minds,6.4
twelve monkeys,7.4
wings of courage,6.8
babe,6
carrington,6.4
dead man walking,7.3
across the sea of time,3.5
it takes two,6.1
clueless,6.9
"cry, the beloved country",6.7
richard iii,6.9
dead presidents,6.6
restoration,6.3
mortal kombat,5.4
to die for,6.7
how to make an american quilt,6.5
se7en,8.1
pocahontas,6.7
when night is falling,5.9
the usual suspects,8.1
guardian angel,6.3
mighty aphrodite,6.7
lamerica,7.7
the big green,5.2
georgia,6.1
kids of the round table,3
home for the holidays,6.3
the postman,7.6
the confessional,6.5
the indian in the cupboard,5.9
eye for an eye,5.8
mr. holland's opus,6.9
don't be a menace to south central while drinking your juice in the hood,6.2
two if by sea,4.5
bio-dome,4.4
lawnmower man 2: beyond cyberspace,2.8
two bits,5.4
french twist,6
friday,7
from dusk till dawn,6.9
fair game,4.1
kicking and screaming,7
les miserables,6.6
bed of roses,5.1
big bully,3.9
screamers,6.1
nico icon,7.3
the crossing guard,6.1
the juror,5.5
the white balloon,7.5
things to do in denver when you're dead,6.7
antonia's line,7.2
once upon a time... when we were colored,4.5
last summer in the hamptons,0
angels and insects,6.3
white squall,6.3
dunston checks in,5.1
black sheep,6
nick of time,6.1
the journey of august king,6.7
mary reilly,5.7
vampire in brooklyn,4.5
beautiful girls,6.6
broken arrow,5.7
a midwinter's tale,7.5
la haine,7.9
shopping,5.6
heidi fleiss: hollywood madam,6.8
city hall,6
bottle rocket,6.8
